Oznaka,Ime_podjetja,Cena,Sprememba_cene,Sprememba_v_odstotkih,PE_razmerje,Stevilo_delnic,Sprememba_do_danes
ABMD,ABIOMED INC,183.60,+4.91,+2.75%,38.3,975.8K,+7.63%

ABM,ABM INDUSTRIES INC,38.72,+0.32,+0.83%,20.3,225.1K,+2.68%

AXAS,ABRAXAS PETE CORP,0.35,-0.0045,-1.29%,1.0,1.1M,-1.71%

ACTG,ACACIA RESEARCH CORP,2.70,0.00,0.00%,NM,70.9K,+1.50%

ACHC,ACADIA HEALTHCARE CO,33.41,-0.05,-0.15%,NM,376.2K,+0.57%

ACAD,ACADIA PHARMACEUTICALS,45.58,+1.17,+2.62%,NM,1.7M,+6.53%

AKR,ACADIA REALTY TRUST,25.01,-0.27,-1.07%,53.2,731.2K,-3.55%

AXDX,ACCELERATE DIAGNOSTICS,18.24,+0.33,+1.84%,NM,170.4K,+7.93%

ACCO,ACCO BRANDS CORP,8.69,-0.15,-1.70%,9.1,376.8K,-7.16%

ARAY,ACCURAY INC,2.61,-0.04,-1.51%,NM,378.4K,-7.45%

ACRX,ACELRX PHARMACEUTICALS,1.97,-0.06,-2.96%,NM,911.9K,-6.64%

ACHN,ACHILLION PHARM,6.23,+0.01,+0.16%,NM,2.2M,+3.32%

ACIW,ACI WORLDWIDE INC,38.93,+0.20,+0.52%,45.8,467.8K,+2.76%

ACOR,ACORDA THERAPEUTICS INC,2.28,+0.02,+0.88%,NM,1.9M,+11.76%

AYI,ACUITY BRANDS INC,123.42,-19.70,-13.76%,14.9,2.4M,-10.57%

ADES,ADA ES INC,10.89,-0.12,-1.09%,6.1,109.9K,+3.71%

ADUS,ADDUS HOMECARE CORP,99.02,+1.76,+1.81%,66.0,95.1K,+1.85%

ADTN,ADTRAN INC,9.79,-0.145,-1.46%,NM,246.8K,-1.06%

AEIS,ADVANCED ENERGY INDS IN,71.50,+0.66,+0.93%,41.8,221.6K,+0.42%

AEGN,AEGION CORP,21.99,+0.30,+1.38%,NM,92.6K,-1.70%

AVAV,AEROVIRONMENT INC,69.71,+1.15,+1.68%,43.0,271.8K,+12.91%

MITT,AG MORTGAGE INVT TR INC,15.62,+0.08,+0.51%,"1,561.0",144.2K,+1.30%

AGYS,AGILYSYS INC,25.77,0.00,0.00%,NM,109.0K,+1.42%

ADC,AGREE REALTY CORP,69.60,-0.27,-0.39%,39.3,672.9K,-0.81%

ATSG,AIR TRANSPORT SERVICES,22.90,-0.45,-1.93%,37.5,198.0K,-2.39%

AYR,AIRCASTLE LTD,32.07,+0.02,+0.06%,11.5,375.4K,+0.19%

AKS,AK STEEL HOLDING CORP,3.05,-0.10,-3.17%,9.5,8.0M,-7.29%

AKRX,AKORN INC,1.27,+0.02,+1.60%,NM,2.0M,-15.33%

ALG,ALAMO GROUP INC,125.81,+0.72,+0.58%,21.2,103.4K,+0.21%

AIN,ALBANY INTERNATIONAL,76.70,+0.60,+0.79%,20.5,170.5K,+1.03%

ALEX,ALEXANDER & BALDWIN INC,21.70,+0.02,+0.09%,NM,420.4K,+3.53%

ALX,ALEXANDERS INC,334.91,+4.01,+1.21%,30.8,10.4K,+1.38%

ALCO,ALICO INC,35.50,-0.68,-1.88%,7.0,17.0K,-0.92%

ALGN,ALIGN TECHNOLOGY INC,296.54,+10.54,+3.69%,56.9,1.3M,+6.27%

ALIM,ALIMERA SCIENCES INC,6.56,-0.05,-0.76%,NM,88.6K,-13.46%

ALGT,ALLEGIANT TRAVEL CO,175.14,+1.40,+0.81%,13.4,128.4K,+0.63%

ALE,ALLETE INC,80.95,+0.72,+0.90%,21.2,178.7K,-0.27%

AIQ,ALLIANCE HEALTHCARE SVC,18.65,+0.215,+1.17%,--,40.5K,+4.16%

ALNY,ALNYLAM PHARMACEUTICALS,118.06,+2.59,+2.24%,NM,604.1K,+2.51%

AOSL,ALPHA & OMEGA SEMICON,13.57,+0.205,+1.53%,678.5,71.5K,-0.37%

ATEC,ALPHATEC HOLDINGS,6.65,-0.09,-1.34%,NM,232.8K,-6.27%

RESI,ALTISOURCE RESIDENTIAL,12.30,-0.12,-0.97%,NM,179.6K,-0.32%

AIMC,ALTRA HOLDINGS INC,36.46,+0.13,+0.36%,39.2,376.1K,+0.69%

AMAG,AMAG PHARMACEUTICALS IN,12.31,-0.36,-2.84%,NM,2.6M,+1.11%

AMBC,AMBAC FINL GROUP INC,21.50,-0.04,-0.19%,NM,166.6K,-0.32%

AMBA,AMBARELLA INC,62.76,-1.83,-2.83%,NM,915.7K,+3.63%

AMED,AMEDISYS INC,172.66,+0.83,+0.48%,44.8,183.2K,+3.44%

APEI,AMER PUBLIC EDUCATION,26.79,-0.34,-1.25%,33.5,41.5K,-2.19%

AMRC,AMERESCO INC,19.58,+0.35,+1.82%,27.6,277.8K,+11.89%

AAT,AMERICAN ASSETS TRST IN,45.40,-0.08,-0.18%,59.0,231.4K,-1.09%

AXL,AMERICAN AXLE & MFG,9.51,-0.13,-1.35%,NM,1.4M,-11.62%

AEL,AMERICAN EQUITY INVST,30.33,+0.31,+1.03%,34.9,432.6K,+1.34%

AMNB,AMERICAN NATL BANKSHARE,38.31,-0.32,-0.83%,20.5,20.3K,-3.18%

AWR,AMERICAN STATES WATER C,83.91,+0.32,+0.38%,38.1,306.7K,-3.15%

AMSC,AMERICAN SUPERCONDUCTOR,7.40,-0.01,-0.13%,370.0,185.8K,-5.73%

AVD,AMERICAN VANGUARD CORP,18.40,-0.11,-0.59%,31.2,104.2K,-5.50%

AMWD,AMERICAN WOODMARK CORP,107.39,+0.58,+0.54%,20.4,83.3K,+2.76%

CRMT,AMERICAS CAR-MART INC,106.81,-1.66,-1.53%,13.6,61.2K,-2.60%

ABCB,AMERIS BANCORP,42.72,+0.07,+0.16%,15.4,215.1K,+0.42%

AMSF,AMERISAFE INC,64.89,+0.07,+0.11%,16.2,52.7K,-1.73%

ATLO,AMES NATL CORP,27.40,+0.18,+0.66%,14.8,6.8K,-2.35%

FOLD,AMICUS THERAPEUTICS INC,9.67,+0.21,+2.22%,NM,5.1M,-0.72%

AMKR,AMKOR TECHNOLOGY INC,12.93,-0.12,-0.92%,61.6,877.6K,-0.54%

AMPE,AMPIO PHARMACEUTICALS,0.69,-0.03,-4.17%,NM,1.2M,+18.34%

AMRS,AMYRIS INC,2.94,-0.11,-3.61%,NM,1.7M,-4.85%

ANDE,ANDERSONS INC,24.93,-0.21,-0.84%,20.9,174.2K,-1.38%

ANGI,ANGIES LIST INC,9.06,0.00,0.00%,64.7,1.8M,+6.97%

ANGO,ANGIODYNAMICS INC,15.05,-0.29,-1.89%,NM,558.6K,-6.00%

ANIK,ANIKA THERAPEUTICS INC,50.13,-1.76,-3.39%,23.3,157.1K,-3.32%

AXE,ANIXTER INTERNATIONAL,98.79,+2.38,+2.47%,16.6,1.8M,+7.26%

ATRS,ANTARES PHARMA INC,4.38,+0.11,+2.58%,NM,1.7M,-6.81%

ANH,ANWORTH MORTGAGE ASSET,3.52,-0.02,-0.56%,NM,379.4K,0.00%

APOG,APOGEE ENTERPRISES INC,33.75,+0.65,+1.96%,20.2,309.9K,+3.85%

ARI,APOLLO COMMERCIAL RE,18.13,+0.10,+0.55%,13.9,1.1M,-0.87%

AINV,APOLLO INVESTMENT CORP,17.49,0.00,0.00%,19.7,529.5K,+0.17%

AIT,APPLIED INDUSTRIAL TECH,65.50,-0.35,-0.53%,19.0,221.2K,-1.78%

ARC,ARC DOCUMENT SOLUTIONS,1.32,-0.06,-4.35%,14.7,89.4K,-5.04%

ARNA,ARENA PHARMACEUTICALS,46.27,+0.41,+0.89%,4.3,307.0K,+1.87%

ACRE,ARES COML REAL ESTATE,15.99,+0.13,+0.82%,12.3,410.5K,+0.95%

AGX,ARGAN INC,40.96,-0.19,-0.46%,39.1,85.5K,+2.04%

AHH,ARMADA HOFFLER PPTYS IN,18.11,+0.01,+0.06%,47.7,143.1K,-1.31%

ARR,ARMOUR RESIDENTIAL REIT,18.60,+0.22,+1.20%,NM,847.3K,+4.09%

ARQL,ARQULE INC,20.00,-0.02,-0.10%,NM,2.8M,+0.20%

AROW,ARROW FINANCIAL CORP,37.17,-0.13,-0.35%,15.3,18.8K,-1.67%

ABG,ASBURY AUTOMOTIVE GROUP,100.60,-2.53,-2.45%,10.7,296.3K,-10.01%

AHT,ASHFORD HOSPITALITY,2.67,0.00,0.00%,NM,322.9K,-4.30%

AZPN,ASPEN TECHNOLOGY INC,136.20,+5.06,+3.86%,35.4,732.5K,+12.63%

ASTE,ASTEC INDUSTRIES INC,43.01,+0.06,+0.14%,NM,140.1K,+2.40%

ATRO,ASTRONICS CORP,28.33,+0.24,+0.85%,9.5,158.7K,+1.36%

ATNI,ATLANTIC TELE-NETWORK,56.99,-0.15,-0.26%,57.6,58.9K,+2.89%

AAWW,ATLAS AIR WORLDWIDE HLD,26.88,-0.28,-1.03%,6.3,176.5K,-2.50%

ATRC,ATRICURE INC,33.71,+1.05,+3.21%,NM,123.4K,+3.69%

ATRI,ATRION CORP,716.50,+1.29,+0.18%,36.6,10.0K,-4.66%

AVEO,AVEO PHARMACEUTICALS IN,0.69,+0.0059,+0.87%,5.3,884.3K,+9.92%

AVNW,AVIAT NETWORKS INC,13.96,+0.015,+0.11%,7.4,7.6K,-0.64%

AVID,AVID TECHNOLOGY INC,8.32,+0.06,+0.73%,NM,118.8K,-3.03%

AVA,AVISTA CORP,46.89,+0.05,+0.11%,16.1,898.2K,-2.50%

ACLS,AXCELIS TECHNOLOGIES IN,24.65,-0.11,-0.44%,52.4,195.9K,+2.30%

AZZ,AZZ INC,47.04,+1.82,+4.02%,20.2,434.0K,+2.37%

BGS,B & G FOODS INC,16.35,-0.16,-0.97%,6.1,1.4M,-8.81%

BMI,BADGER METER INC,63.56,-0.51,-0.80%,40.5,223.3K,-2.11%

BKR,BAKER MICHAEL CORP,25.04,+0.27,+1.09%,55.6,3.5M,-2.30%

BCPC,BALCHEM CORP,102.28,-1.10,-1.06%,41.7,186.8K,+0.64%

BANF,BANCFIRST CORP,61.85,0.00,0.00%,15.6,30.8K,-0.94%

BLX,BANCO LATINOAMERICANO,22.17,+0.17,+0.77%,10.4,106.5K,+3.70%

TBBK,BANCORP INC,12.12,-0.14,-1.14%,12.8,214.3K,-6.55%

BXS,BANCORPSOUTH INC,30.76,-0.06,-0.19%,14.4,295.7K,-2.07%

BMRC,BANK OF MARIN BANCORP,44.07,-0.36,-0.81%,17.6,11.3K,-2.18%

BFIN,BANKFINANCIAL CORP,12.90,+0.08,+0.62%,13.4,13.9K,-1.38%

BANR,BANNER CORP,54.80,+0.41,+0.75%,12.7,220.0K,-1.40%

BHB,BAR HBR BANKSHARES,24.43,-0.07,-0.29%,14.6,20.0K,-3.78%

BBSI,BARRETT BUSINESS SERVIC,88.07,+0.31,+0.35%,12.6,46.5K,-2.64%

BSET,BASSETT FURNITURE INDS,16.25,-0.04,-0.25%,33.2,24.6K,-2.58%

BBX,BBX CAPITAL CORPORATION,4.26,-0.06,-1.39%,17.0,81.9K,-10.69%

BECN,BEACON ROOFING SUPPLY,34.61,-0.50,-1.42%,NM,448.4K,+8.22%

BBGI,BEASLEY BROADCAST GROUP,3.20,-0.11,-3.32%,8.2,41.8K,+3.56%

BZH,BEAZER HOMES USA INC,14.53,+0.23,+1.61%,NM,229.5K,+2.83%

BDC,BELDEN INC,54.51,+0.62,+1.15%,NM,154.0K,-0.89%

BHE,BENCHMARK ELECTRONICS,34.63,+0.12,+0.35%,25.5,243.9K,+0.79%

BHLB,BERKSHIRE HILLS BANCORP,31.87,+0.02,+0.06%,18.7,112.7K,-3.07%

BERY,BERRY PLASTICS GROUP,44.64,-0.13,-0.29%,14.9,1.4M,-6.00%

BGCP,BGC PARTNERS INC,5.78,+0.01,+0.17%,41.3,1.3M,-2.69%

BGFV,BIG 5 SPORTING GOODS,3.16,-0.02,-0.63%,22.6,115.6K,+5.33%

BDSI,BIODELIVERY SCIENCES,5.89,+0.20,+3.51%,NM,1.8M,-6.80%

BIOL,BIOLASE INC,0.60,+0.011,+1.86%,NM,113.3K,+8.74%

BIOS,BIOSCRIP INC,4.13,+0.04,+0.98%,NM,1.9M,+10.72%

BJRI,BJS RESTAURANTS INC,39.99,+0.49,+1.24%,20.5,332.9K,+5.35%

BKH,BLACK HILLS CORP,76.86,+0.77,+1.01%,20.9,267.7K,-2.14%

BLKB,BLACKBAUD INC,79.34,+1.23,+1.57%,193.5,277.4K,-0.33%

BKCC,BLACKROCK KELSO CAP COR,4.99,+0.04,+0.81%,NM,556.4K,+0.50%

BLMN,BLOOMIN' BRANDS INC,22.25,+0.13,+0.59%,17.7,877.2K,+0.82%

BCOR,BLUCORA INC,25.24,-0.52,-2.02%,105.2,444.3K,-3.44%

BXC,BLUELINX HOLDINGS INC,14.39,-0.61,-4.07%,NM,105.8K,+0.98%

WIFI,BOINGO WIRELESS INC,10.86,+0.27,+2.55%,NM,607.5K,-0.82%

BCC,BOISE CASCADE COMPANY,37.87,+1.50,+4.12%,NM,350.7K,+3.67%

BCEI,BONANZA CREEK ENER INC,22.63,-0.15,-0.66%,2.7,206.0K,-3.04%

SAM,BOSTON BEER INC,369.48,-3.90,-1.04%,37.2,104.9K,-2.22%

BPFH,BOSTON PRIVATE FINANCIA,12.18,+0.02,+0.16%,10.8,351.8K,+1.25%

EPAY,BOTTOMLINE TECHNOLOGIES,53.81,-0.255,-0.47%,244.6,152.1K,+0.38%

BYD,BOYD GAMING CORP,29.61,-0.18,-0.60%,21.6,349.8K,-1.10%

BRC,BRADY CORP,57.02,+0.19,+0.33%,475.2,177.0K,-0.42%

BDGE,BRIDGE BANCORP INC,32.31,-0.20,-0.62%,12.6,20.7K,-3.64%

BGG,BRIGGS & STRATTON CO,5.32,-0.23,-4.14%,NM,815.4K,-20.12%

BFAM,BRIGHT HORIZON FAMILY,160.74,+2.24,+1.41%,53.2,219.7K,+6.95%

BCOV,BRIGHTCOVE INC,8.89,+0.055,+0.62%,NM,75.4K,+2.30%

BCO,BRINKS CO,95.62,+1.71,+1.82%,72.4,318.4K,+5.45%

BRKL,BROOKLINE BANCORP INC,16.04,-0.045,-0.28%,14.9,251.6K,-2.55%

BRKS,BROOKS AUTOMATION INC,42.13,+0.71,+1.71%,324.1,575.6K,+0.41%

BMTC,BRYN MAWR BANK CORP,40.50,-0.19,-0.47%,13.6,79.4K,-1.79%

BKI,BUCKEYE TECHNOLOGIES IN,64.74,+0.19,+0.29%,68.9,881.5K,+0.40%

BKE,BUCKLE INC,25.21,-1.35,-5.08%,12.5,1.1M,-6.77%

BLDR,BUILDERS FIRSTSOURCE IN,26.29,+0.10,+0.38%,13.2,854.0K,+3.46%

CFFI,C & F FINANCIAL CORP,52.81,+0.50,+0.96%,10.0,702.00,-4.55%

CCMP,CABOT MICROELECTRONICS,151.28,+2.87,+1.93%,112.1,260.6K,+4.82%

CACI,CACI INTERNATIONAL INC,262.57,+3.01,+1.16%,26.2,256.9K,+5.03%

CZR,CAESARS ENTMT CORP,13.64,0.00,0.00%,NM,19.3M,+0.29%

CALM,CAL MAINE FOODS INC,38.00,-0.025,-0.07%,NM,562.2K,-11.11%

CAMP,CALAMP CORP,9.46,+0.17,+1.83%,NM,462.3K,-1.25%

CVGW,CALAVO GROWERS INC,82.37,-0.54,-0.65%,39.6,228.0K,-9.07%

CCC,CALGON CARBON CORP,17.25,+0.18,+1.05%,NM,1.5M,+2.68%

CWT,CALIFORNIA WTR SVC GRP,49.73,+0.31,+0.63%,35.5,247.1K,-3.55%

CALX,CALIX INC,8.28,+0.12,+1.47%,NM,156.7K,+3.50%

ELY,CALLAWAY GOLF CO,21.98,+0.34,+1.57%,26.2,1.0M,+3.68%

CPE,CALLON PETROLEUM CO,4.36,-0.06,-1.36%,4.2,22.5M,-9.73%

CAC,CAMDEN NATIONAL CORP,45.60,-0.40,-0.87%,12.7,40.4K,-1.00%

CCBG,CAPITAL CITY BANK GROUP,29.33,-0.29,-0.98%,16.1,25.0K,-3.84%

CSU,CAPITAL SENIOR LIVING,3.16,0.00,0.00%,NM,79.5K,+2.27%

CSWC,CAPITAL SOUTHWEST CORP,20.76,+0.11,+0.53%,14.9,79.8K,-0.24%

CFFN,CAPITOL FEDERAL FINL IN,13.66,+0.04,+0.29%,20.1,215.3K,-0.51%

CMO,CAPSTEAD MORTGAGE CORP,7.92,-0.06,-0.75%,NM,326.8K,0.00%

CPST,CAPSTONE TURBINE CORP,3.05,-0.15,-4.69%,NM,106.9K,-0.33%

CSII,CARDIOVASCULAR SYS INC,50.16,+1.19,+2.43%,NM,355.0K,+3.23%

CATM,CARDTRONICS INC,43.24,+0.51,+1.19%,67.6,282.6K,-3.16%

CSV,CARRIAGE SERVICES INC,25.08,-0.20,-0.79%,50.2,54.7K,-2.03%

TAST,CARROLS RESTAURANT GRP,6.75,+0.07,+1.05%,NM,426.8K,-4.26%

CWST,CASELLA WASTE SYSTEMS,47.79,+0.39,+0.82%,298.7,141.6K,+3.82%

CASY,CASEYS GENERAL STORES,164.21,+1.18,+0.72%,25.9,241.8K,+3.28%

CASS,CASS INFORMATION SYSTEM,56.48,-0.28,-0.49%,26.7,38.9K,-2.18%

CATY,CATHAY GENERAL BANCORP,37.65,+0.10,+0.27%,10.9,176.4K,-1.05%

CATO,CATO CORP,16.45,-1.13,-6.43%,11.3,184.8K,-5.46%

CVCO,CAVCO INDUSTRIES INC,197.93,+0.89,+0.45%,24.3,52.8K,+1.31%

CBZ,CBIZ INC,27.10,-0.07,-0.26%,21.3,158.5K,+0.52%

CECE,CECO ENVIRONMENTAL CORP,7.82,+0.08,+1.03%,27.9,47.3K,+2.09%

CDR,CEDAR REALTY TRUST INC,2.85,-0.05,-1.72%,57.1,361.7K,-3.39%

CTIC,CELL THERAPEUTICS INC,1.44,+0.05,+3.60%,NM,264.1K,-8.86%

CLDX,CELLDEX THERAPEUTICS IN,2.52,-0.07,-2.70%,NM,116.0K,+13.00%

CNC,CENTENE CORP,64.16,-0.21,-0.33%,19.9,2.5M,+2.05%

CSFL,CENTERSTATE BANKS INC,24.13,-0.10,-0.41%,13.2,299.4K,-3.40%

CETV,CENTRAL EUROPEAN MEDIA,4.47,0.00,0.00%,13.5,135.6K,-1.32%

CPF,CENTRAL PACIFIC FINL,28.83,-0.06,-0.21%,13.9,294.8K,-2.54%

CENX,CENTURY ALUMINUM CO,7.06,-0.44,-5.87%,NM,3.0M,-6.05%

CERS,CERUS CORP,4.60,+0.08,+1.77%,NM,624.1K,+9.00%

CEVA,CEVA INC,27.62,+0.24,+0.88%,NM,107.9K,+2.45%

ECOM,CHANNELADVISOR CORP,9.40,-0.09,-0.95%,NM,99.4K,+3.98%

GTLS,CHART INDUSTRIES INC,69.54,+0.45,+0.65%,45.5,281.5K,+3.04%

CCF,CHASE CORP,103.17,-5.27,-4.86%,31.3,19.9K,-12.92%

CLDT,CHATHAM LODGING TR,17.58,-0.07,-0.40%,40.9,180.6K,-4.14%

CAKE,CHEESECAKE FACTORY INC,39.74,+0.10,+0.25%,18.8,343.0K,+2.26%

CHEF,CHEFS' WHAREHOUSE INC,38.70,-0.21,-0.54%,51.6,252.5K,+1.55%

CHE,CHEMED CORPORATION,455.79,+7.66,+1.71%,36.2,52.2K,+3.76%

CCXI,CHEMOCENTRYX INC,38.47,+1.68,+4.57%,NM,899.8K,-2.73%

CHMG,CHEMUNG FINL CORP,42.35,-0.03,-0.07%,12.0,5.7K,-0.35%

CPK,CHESAPEAKE UTILITIES,91.46,+0.19,+0.21%,24.5,50.1K,-4.56%

PLCE,CHILDRENS PLACE RETAIL,65.16,+0.47,+0.73%,16.8,749.9K,+4.22%

CMRX,CHIMERIX INC,2.15,-0.02,-0.92%,NM,442.2K,+5.91%

CHDN,CHURCHILL DOWNS INC,137.19,+1.57,+1.16%,38.9,159.4K,-0.01%

CHUY,CHUY'S HOLDINGS INC,25.91,-0.19,-0.73%,39.9,83.2K,-0.04%

CBB,CINCINNATI BELL INC,10.68,+0.14,+1.33%,NM,710.2K,+2.01%

CIR,CIRCOR INTERNATIONAL IN,44.27,+0.10,+0.23%,NM,63.5K,-4.26%

CRUS,CIRRUS LOGIC INC,85.34,+1.05,+1.25%,44.0,542.8K,+3.56%

CTRN,CITI TRENDS INC,22.06,-0.33,-1.47%,18.7,70.9K,-4.58%

CZNC,CITIZENS & NORTHERN COR,27.98,+0.62,+2.27%,18.4,10.7K,-0.96%

CIA,CITIZENS INC,6.77,-0.04,-0.59%,NM,41.1K,+0.30%

CHCO,CITY HOLDING CO,81.59,-0.12,-0.15%,17.3,43.9K,-0.44%

CLNE,CLEAN ENERGY FUELS CORP,2.69,+0.08,+3.07%,NM,719.3K,+14.96%

CLW,CLEARWATER PAPER CORP,18.93,-0.38,-1.97%,NM,131.9K,-11.38%

CLVS,CLOVIS ONCOLOGY INC,9.98,-0.79,-7.38%,NM,11.6M,-4.27%

CCNE,CNB FINL CORP PA,31.60,-0.29,-0.91%,12.5,21.4K,-3.30%

CNO,CNO FINANCIAL GROUP,18.02,+0.08,+0.45%,18.0,942.8K,-0.61%

COKE,COCA COLA BOTTLING,276.46,-0.80,-0.29%,NM,38.5K,-2.67%

CDE,COEUR MINING INC,6.40,+0.11,+1.75%,NM,9.1M,-20.79%

CCOI,COGENT COMMUNICATIONS,70.50,+1.26,+1.82%,87.0,482.0K,+7.13%

CGNX,COGNEX CORP,56.07,+0.53,+0.95%,57.8,615.6K,+0.05%

CNS,COHEN & STEERS INC,62.99,+0.85,+1.37%,24.6,158.3K,+0.37%

COHR,COHERENT INC,172.45,-0.47,-0.27%,77.7,243.2K,+3.67%

COHU,COHU INC,23.33,-0.07,-0.30%,NM,186.8K,+2.10%

CSTR,COINSTAR INC,16.19,-0.16,-0.98%,20.5,20.4K,-2.76%

CLNY,COLONY FINANCIAL INC,4.84,+0.01,+0.21%,NM,1.6M,+1.89%

COLB,COLUMBIA BKG SYSTEM INC,39.19,-0.31,-0.78%,14.8,244.2K,-3.67%

COLM,COLUMBIA SPORTSWEAR CO,99.75,-0.62,-0.62%,20.9,307.5K,-0.44%

CMCO,COLUMBUS MCKINNON CORP,38.65,-0.47,-1.20%,17.0,281.2K,-3.45%

FIX,COMFORT SYSTEMS USA INC,48.37,-0.35,-0.72%,17.1,178.3K,-2.97%

CMC,COMMERCIAL METALS CO,22.80,-0.37,-1.60%,10.4,2.1M,+2.38%

CVGI,COMMERCIAL VEH GROUP IN,6.00,-0.16,-2.60%,5.2,133.8K,-5.51%

CBU,COMMUNITY BANK SYSTEMS,71.21,+0.50,+0.71%,22.3,339.1K,+0.38%

CTBI,COMMUNITY TRUST BANCORP,46.04,-0.10,-0.22%,12.7,25.1K,-1.29%

CVLT,COMMVAULT SYSTEMS INC,45.60,+0.39,+0.86%,NM,700.1K,+2.15%

CPSI,COMPUTER PROGRAMS & SYS,26.00,+0.20,+0.78%,21.8,90.1K,-1.52%

CTG,COMPUTER TASK GROUP INC,5.21,+0.06,+1.17%,NM,14.0K,+0.58%

CIX,COMPX INTERNATIONAL,15.20,+0.20,+1.33%,12.4,644.00,+4.18%

SCOR,COMSCORE INC,5.22,+0.09,+1.75%,NM,400.7K,+5.67%

CRK,COMSTOCK RESOURCES INC,7.81,-0.10,-1.26%,NM,463.8K,-5.10%

CMTL,COMTECH TELECOMM,36.18,-0.02,-0.06%,31.5,109.1K,+1.94%

CNMD,CONMED CORP,111.24,+1.06,+0.96%,110.1,208.6K,-0.53%

CNOB,CONNECTONE BANCORP INC,25.46,-0.26,-1.01%,12.5,64.3K,-1.01%

CONN,CONNS INC,10.62,-0.39,-3.54%,4.0,1.3M,-14.29%

CNSL,CONSOLIDATED COMM,4.00,+0.08,+2.04%,NM,842.5K,+3.09%

CTO,CONSOLIDATED TOMOKA LAN,61.50,+0.23,+0.38%,10.2,11.1K,+1.96%

CWCO,CONSOLIDATED WATER CO,16.22,-0.15,-0.92%,27.0,70.5K,-0.49%

CPSS,CONSUMER PORTFOLIO SVCS,3.42,0.00,0.00%,8.0,65.00,+1.48%

MCF,CONTANGO OIL & GAS CO,3.78,+0.28,+8.00%,NM,274.4K,+3.00%

CTB,COOPER TIRE & RUBBER CO,27.85,-0.33,-1.17%,31.3,197.3K,-3.13%

CORT,CORCEPT THERAPEUTICS IN,12.08,+0.15,+1.26%,17.0,655.4K,-0.17%

CORE,CORE MARK HOLDING CO IN,25.09,-0.63,-2.45%,21.4,189.2K,-7.72%

COR,CORESITE REALTY CORP,111.04,+0.06,+0.05%,53.4,353.4K,-0.96%

CSOD,CORNERSTONE ONDEMAND IN,59.30,-0.02,-0.03%,NM,318.2K,+1.28%

CRTX,CORNERSTONE THERAPEUTIC,47.90,+4.76,+11.03%,NM,291.6K,-14.68%

CRVL,CORVEL CORP,91.73,+0.88,+0.97%,35.7,55.2K,+5.00%

CSGP,COSTAR GROUP INC,629.69,+4.31,+0.69%,74.2,209.0K,+5.25%

CUZ,COUSINS PROPERTIES INC,40.29,+0.01,+0.02%,82.2,400.9K,-2.21%

COWN,COWEN GROUP INC,16.55,+0.01,+0.06%,29.6,118.9K,+5.08%

CRAI,CRA INTERNATIONAL INC,54.49,-0.30,-0.55%,19.9,23.6K,+0.04%

